iter	Logloss
0	0.6926548006
1	0.6921741014
2	0.6916910121
3	0.691206636
4	0.690724037
5	0.6902421121
6	0.6897696247
7	0.6892918058
8	0.6888198699
9	0.6883432153
10	0.6878758144
11	0.6874003854
12	0.6869259983
13	0.6864538786
14	0.6859871518
15	0.6855179124
16	0.6850476311
17	0.6845809043
18	0.6841159547
19	0.6836535176
20	0.6831870359
21	0.6827265598
22	0.6822704961
23	0.6818238699
24	0.6813620457
25	0.6809121715
26	0.6804548822
27	0.6800137101
28	0.6795624877
29	0.6791146971
30	0.6786629845
31	0.6782084529
32	0.6777565564
33	0.6773050888
34	0.6768540503
35	0.6764118364
36	0.675961043
37	0.6755141104
38	0.6750660747
39	0.6746241672
40	0.674185569
41	0.6737488706
42	0.6733083113
43	0.6728678134
44	0.6724272541
45	0.671990188
46	0.6715720581
47	0.6711348081
48	0.6707053409
49	0.6702674168
50	0.6698299217
51	0.6693988612
52	0.6689652882
53	0.6685328182
54	0.6681101534
55	0.6676787865
56	0.6672525674
57	0.6668296575
58	0.6664063186
59	0.665983041
60	0.6655566992
61	0.6651334829
62	0.6647089796
63	0.6642868051
64	0.6638662239
65	0.6634446009
66	0.663025797
67	0.6626139792
68	0.6622022226
69	0.6617879535
70	0.6613744811
71	0.6609609474
72	0.6605558707
73	0.6601384762
74	0.6597282517
75	0.6593244006
76	0.6589141149
77	0.6585121023
78	0.6581048807
79	0.6576968624
80	0.6572936241
81	0.6568888538
82	0.6564877604
83	0.6560851963
84	0.655681958
85	0.6552860124
86	0.6548870639
87	0.6544892185
88	0.6540993398
89	0.6537000849
90	0.6533102675
91	0.652911319
92	0.6525163538
93	0.6521231659
94	0.6517316938
95	0.6513441439
96	0.6509545716
97	0.6505726596
98	0.6501874384
99	0.6497993369
100	0.6494114192
101	0.6490274849
102	0.6486393221
103	0.6482642738
104	0.6478770302
105	0.6474917477
106	0.6471084262
107	0.6467321522
108	0.6463569813
109	0.6459827909
110	0.6456143611
111	0.6452358809
